,Age,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Work_accident,YearsInCurrentRole,YearsWithCurrManager,average_montly_hours,last_evaluation,number_project,satisfaction_level_Combined,YearsAtCompanyCombied,attrition_combined,salary_combined,BusinessTravel_numerical,Gender_numerical,EducationField_numerical,MaritalStatus_numerical,OverTime_numerical,JobRole_numerical,department_combined,promotion_5_year_combined,MonthtlyRateNormalized
0,41.0,1.0,2.0,3.0,2.0,8.0,11.0,3.0,1.0,0.0,8.0,0.0,1.0,0.0,4.0,5.0,200.0,0.72,4.0,4.0,6.0,1,2,1.0,0.0,0.0,0.0,1.0,0.0,1,1,3.0
1,49.0,8.0,3.0,2.0,2.0,1.0,23.0,4.0,4.0,1.0,10.0,3.0,3.0,0.0,7.0,7.0,200.0,0.72,4.0,2.0,10.0,0,2,2.0,1.0,0.0,1.0,0.0,1.0,2,1,4.0
2,37.0,2.0,4.0,2.0,1.0,6.0,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,2.0,2,1,0.0
3,33.0,3.0,4.0,3.0,1.0,1.0,11.0,3.0,3.0,0.0,8.0,3.0,3.0,0.0,7.0,0.0,200.0,0.72,4.0,3.0,8.0,0,1,2.0,0.0,0.0,1.0,1.0,1.0,2,1,4.0
4,27.0,2.0,1.0,3.0,1.0,9.0,12.0,3.0,4.0,1.0,6.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,2.0,2.0,0,1,1.0,1.0,2.0,1.0,0.0,2.0,2,1,2.0
5,32.0,2.0,4.0,3.0,1.0,0.0,13.0,3.0,3.0,0.0,8.0,2.0,2.0,0.0,7.0,6.0,200.0,0.72,4.0,4.0,7.0,0,1,2.0,1.0,0.0,0.0,0.0,2.0,2,1,2.0
6,59.0,3.0,3.0,4.0,1.0,4.0,20.0,4.0,1.0,3.0,12.0,3.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,1.0,1.0,0,1,1.0,0.0,2.0,1.0,1.0,2.0,2,1,1.0
7,30.0,24.0,4.0,3.0,1.0,1.0,22.0,4.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,1.0,0,1,1.0,1.0,0.0,2.0,0.0,2.0,2,1,2.0
8,38.0,23.0,4.0,2.0,3.0,0.0,21.0,4.0,2.0,0.0,10.0,2.0,3.0,0.0,7.0,8.0,200.0,0.72,4.0,3.0,9.0,0,2,2.0,1.0,0.0,0.0,0.0,3.0,2,1,1.0
9,36.0,27.0,3.0,3.0,2.0,6.0,13.0,3.0,2.0,2.0,17.0,3.0,2.0,0.0,7.0,7.0,200.0,0.72,4.0,3.0,7.0,0,2,1.0,1.0,2.0,1.0,0.0,4.0,2,0,2.0
10,35.0,16.0,1.0,4.0,1.0,0.0,13.0,3.0,3.0,1.0,6.0,5.0,3.0,0.0,4.0,3.0,200.0,0.72,4.0,2.0,5.0,0,0,1.0,1.0,2.0,1.0,0.0,2.0,2,1,2.0
11,29.0,15.0,4.0,2.0,2.0,0.0,12.0,3.0,4.0,0.0,10.0,3.0,3.0,0.0,5.0,8.0,200.0,0.72,4.0,3.0,9.0,0,1,1.0,0.0,0.0,0.0,1.0,2.0,2,1,2.0
12,31.0,26.0,1.0,3.0,1.0,1.0,17.0,3.0,4.0,1.0,5.0,1.0,2.0,0.0,2.0,3.0,200.0,0.72,4.0,3.0,5.0,0,1,1.0,1.0,0.0,2.0,0.0,1.0,2,1,2.0
13,34.0,19.0,2.0,3.0,1.0,0.0,11.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,4.0,2.0,0,1,1.0,1.0,2.0,2.0,0.0,2.0,2,1,1.0
14,28.0,24.0,3.0,2.0,1.0,5.0,14.0,3.0,2.0,0.0,6.0,4.0,3.0,0.0,2.0,3.0,200.0,0.72,4.0,3.0,4.0,1,0,1.0,1.0,0.0,0.0,1.0,2.0,2,1,2.0
15,29.0,21.0,2.0,4.0,3.0,1.0,11.0,3.0,3.0,1.0,10.0,1.0,3.0,0.0,9.0,8.0,200.0,0.72,4.0,1.0,10.0,0,2,1.0,0.0,0.0,2.0,0.0,3.0,2,0,1.0
16,32.0,5.0,1.0,4.0,1.0,0.0,12.0,3.0,4.0,2.0,7.0,5.0,2.0,0.0,2.0,5.0,200.0,0.72,4.0,2.0,6.0,0,1,1.0,1.0,0.0,2.0,1.0,1.0,2,1,2.0
17,22.0,16.0,4.0,4.0,1.0,1.0,13.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,0,1,0.0,1.0,2.0,2.0,1.0,2.0,2,1,1.0
18,53.0,2.0,1.0,2.0,4.0,2.0,16.0,3.0,3.0,0.0,31.0,3.0,3.0,0.0,8.0,7.0,200.0,0.72,4.0,4.0,25.0,0,2,1.0,0.0,0.0,1.0,0.0,5.0,1,1,3.0
19,38.0,2.0,4.0,3.0,1.0,5.0,11.0,3.0,3.0,0.0,6.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,4.0,3.0,0,1,1.0,1.0,0.0,0.0,1.0,1.0,2,1,0.0
20,24.0,11.0,1.0,4.0,2.0,0.0,18.0,3.0,4.0,1.0,5.0,5.0,2.0,0.0,2.0,3.0,200.0,0.72,4.0,3.0,4.0,0,1,0.0,0.0,1.0,2.0,0.0,3.0,2,1,1.0
21,36.0,9.0,3.0,2.0,1.0,7.0,23.0,4.0,2.0,0.0,10.0,4.0,3.0,0.0,3.0,3.0,200.0,0.72,4.0,1.0,5.0,1,1,1.0,1.0,0.0,0.0,0.0,6.0,1,1,0.0
22,34.0,7.0,1.0,3.0,3.0,0.0,11.0,3.0,3.0,0.0,13.0,4.0,3.0,0.0,6.0,11.0,200.0,0.72,4.0,2.0,12.0,0,2,1.0,0.0,0.0,0.0,0.0,7.0,2,1,3.0
23,21.0,15.0,3.0,3.0,1.0,1.0,14.0,3.0,4.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,2,1,3.0
24,34.0,6.0,2.0,3.0,1.0,2.0,11.0,3.0,3.0,0.0,8.0,2.0,3.0,0.0,2.0,3.0,200.0,0.72,4.0,1.0,4.0,1,1,1.0,1.0,2.0,0.0,0.0,1.0,2,1,3.0
25,53.0,5.0,3.0,3.0,5.0,4.0,11.0,3.0,4.0,1.0,26.0,3.0,2.0,0.0,13.0,8.0,200.0,0.72,4.0,3.0,14.0,0,2,1.0,0.0,1.0,2.0,0.0,5.0,2,1,1.0
26,32.0,16.0,2.0,1.0,1.0,1.0,22.0,4.0,2.0,0.0,10.0,5.0,3.0,0.0,2.0,7.0,200.0,0.72,4.0,1.0,10.0,1,1,2.0,0.0,0.0,0.0,1.0,1.0,2,0,0.0
27,42.0,8.0,3.0,3.0,2.0,0.0,11.0,3.0,4.0,1.0,10.0,2.0,3.0,0.0,7.0,2.0,200.0,0.72,4.0,2.0,9.0,0,2,1.0,1.0,3.0,1.0,0.0,0.0,1,1,3.0
28,44.0,7.0,1.0,2.0,3.0,3.0,14.0,3.0,4.0,1.0,24.0,4.0,3.0,0.0,6.0,17.0,200.0,0.72,4.0,4.0,22.0,0,2,1.0,0.0,2.0,1.0,0.0,4.0,2,1,0.0
29,46.0,2.0,2.0,3.0,5.0,3.0,12.0,3.0,4.0,0.0,22.0,2.0,2.0,0.0,2.0,1.0,200.0,0.72,4.0,1.0,2.0,0,2,1.0,0.0,3.0,0.0,0.0,5.0,1,1,4.0
30,33.0,2.0,3.0,3.0,1.0,4.0,11.0,3.0,4.0,0.0,7.0,3.0,3.0,0.0,1.0,0.0,200.0,0.72,4.0,4.0,1.0,0,0,1.0,1.0,2.0,0.0,0.0,2.0,2,1,0.0
31,44.0,10.0,4.0,3.0,2.0,2.0,13.0,3.0,4.0,0.0,9.0,5.0,4.0,0.0,2.0,3.0,200.0,0.72,4.0,4.0,4.0,0,2,1.0,1.0,1.0,1.0,1.0,4.0,2,1,3.0
32,30.0,9.0,4.0,2.0,1.0,1.0,13.0,3.0,1.0,0.0,10.0,5.0,3.0,0.0,0.0,8.0,200.0,0.72,4.0,3.0,10.0,0,0,1.0,1.0,2.0,0.0,0.0,2.0,2,1,2.0
33,39.0,5.0,4.0,3.0,2.0,3.0,14.0,3.0,3.0,1.0,19.0,6.0,4.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,1,0,1.0,1.0,4.0,1.0,0.0,6.0,1,1,0.0
34,24.0,1.0,2.0,3.0,1.0,2.0,16.0,3.0,1.0,1.0,6.0,2.0,2.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,2.0,1,0,1.0,1.0,2.0,1.0,1.0,1.0,2,1,0.0
35,43.0,2.0,4.0,4.0,1.0,1.0,12.0,3.0,4.0,2.0,6.0,3.0,2.0,0.0,3.0,4.0,200.0,0.72,4.0,3.0,5.0,0,1,1.0,0.0,2.0,2.0,0.0,1.0,2,1,3.0
36,50.0,3.0,1.0,2.0,1.0,1.0,14.0,3.0,3.0,0.0,3.0,2.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,3.0,3.0,1,1,1.0,1.0,3.0,1.0,1.0,6.0,1,1,0.0
37,35.0,2.0,4.0,3.0,1.0,1.0,13.0,3.0,1.0,0.0,2.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,4.0,2.0,0,0,1.0,0.0,3.0,1.0,0.0,6.0,1,1,1.0
38,36.0,5.0,2.0,2.0,1.0,9.0,14.0,3.0,4.0,1.0,6.0,3.0,4.0,0.0,1.0,0.0,200.0,0.72,4.0,1.0,1.0,0,1,1.0,0.0,0.0,1.0,1.0,1.0,2,1,2.0
39,33.0,1.0,3.0,4.0,2.0,2.0,19.0,3.0,1.0,2.0,10.0,3.0,3.0,0.0,3.0,3.0,200.0,0.72,4.0,1.0,5.0,0,2,2.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0
40,35.0,4.0,3.0,3.0,1.0,1.0,12.0,3.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,4.0,1.0,0,0,1.0,1.0,1.0,2.0,0.0,2.0,2,1,1.0
41,27.0,2.0,4.0,3.0,1.0,1.0,13.0,3.0,4.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,1.0,1.0,0,0,1.0,0.0,0.0,2.0,0.0,2.0,2,1,3.0
42,26.0,25.0,1.0,1.0,1.0,1.0,12.0,3.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,200.0,0.72,4.0,3.0,1.0,1,0,1.0,1.0,0.0,0.0,0.0,2.0,2,1,1.0
43,27.0,8.0,4.0,3.0,3.0,1.0,15.0,3.0,4.0,0.0,9.0,0.0,3.0,0.0,8.0,7.0,200.0,0.72,4.0,3.0,9.0,0,2,2.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0
44,30.0,1.0,3.0,3.0,2.0,1.0,23.0,4.0,4.0,0.0,12.0,2.0,3.0,0.0,8.0,7.0,200.0,0.72,4.0,4.0,12.0,0,1,2.0,0.0,2.0,0.0,0.0,2.0,2,1,1.0
45,41.0,12.0,2.0,3.0,5.0,1.0,12.0,3.0,4.0,0.0,23.0,0.0,3.0,0.0,15.0,8.0,200.0,0.72,4.0,3.0,22.0,1,2,1.0,0.0,4.0,1.0,0.0,7.0,2,0,2.0
46,34.0,23.0,2.0,3.0,2.0,0.0,20.0,4.0,3.0,0.0,10.0,2.0,3.0,0.0,5.0,7.0,200.0,0.72,4.0,3.0,9.0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,1,0,1.0
47,37.0,19.0,2.0,3.0,1.0,4.0,21.0,4.0,1.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,2.0,1.0,0,1,1.0,1.0,0.0,1.0,0.0,1.0,2,1,1.0
48,46.0,5.0,1.0,3.0,2.0,4.0,21.0,4.0,3.0,0.0,14.0,4.0,3.0,0.0,6.0,8.0,200.0,0.72,4.0,4.0,9.0,0,2,2.0,1.0,3.0,0.0,1.0,0.0,1,1,3.0
49,35.0,8.0,4.0,4.0,1.0,1.0,19.0,3.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,200.0,0.72,4.0,4.0,1.0,0,0,1.0,1.0,0.0,1.0,0.0,2.0,2,1,0.0
50,48.0,1.0,1.0,2.0,3.0,9.0,13.0,3.0,4.0,0.0,23.0,2.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,1.0,1,2,1.0,1.0,0.0,0.0,1.0,2.0,2,1,3.0
51,28.0,5.0,3.0,3.0,1.0,1.0,13.0,3.0,3.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,200.0,0.72,4.0,3.0,2.0,1,1,1.0,1.0,4.0,0.0,1.0,2.0,2,1,1.0
52,44.0,1.0,2.0,3.0,2.0,5.0,21.0,4.0,3.0,1.0,9.0,2.0,2.0,0.0,3.0,3.0,200.0,0.72,4.0,1.0,4.0,0,2,1.0,0.0,3.0,2.0,1.0,0.0,1,1,0.0
53,35.0,11.0,3.0,2.0,3.0,2.0,13.0,3.0,3.0,1.0,10.0,3.0,3.0,0.0,0.0,3.0,200.0,0.72,4.0,1.0,4.0,0,2,0.0,1.0,2.0,1.0,1.0,4.0,2,1,1.0
54,26.0,23.0,3.0,2.0,2.0,7.0,19.0,3.0,3.0,1.0,5.0,2.0,2.0,0.0,2.0,0.0,200.0,0.72,4.0,4.0,2.0,0,1,1.0,0.0,3.0,1.0,1.0,0.0,1,1,3.0
55,33.0,1.0,1.0,3.0,3.0,1.0,12.0,3.0,3.0,0.0,15.0,1.0,3.0,0.0,14.0,12.0,200.0,0.72,4.0,4.0,15.0,0,2,2.0,0.0,0.0,0.0,1.0,7.0,2,0,2.0
56,35.0,18.0,2.0,3.0,3.0,1.0,22.0,4.0,4.0,1.0,9.0,3.0,2.0,0.0,8.0,8.0,200.0,0.72,4.0,1.0,9.0,0,2,2.0,1.0,0.0,1.0,0.0,0.0,1,1,1.0
57,35.0,23.0,3.0,3.0,1.0,3.0,15.0,3.0,3.0,1.0,4.0,3.0,3.0,0.0,2.0,2.0,200.0,0.72,4.0,1.0,2.0,0,1,1.0,0.0,2.0,1.0,1.0,2.0,2,1,2.0
58,31.0,7.0,4.0,3.0,2.0,3.0,22.0,4.0,4.0,1.0,10.0,3.0,2.0,0.0,7.0,7.0,200.0,0.72,4.0,4.0,7.0,0,2,1.0,1.0,0.0,2.0,0.0,2.0,2,1,1.0
59,37.0,1.0,1.0,2.0,2.0,1.0,18.0,3.0,3.0,1.0,7.0,2.0,4.0,0.0,5.0,7.0,200.0,0.72,4.0,3.0,7.0,0,2,1.0,1.0,0.0,2.0,0.0,3.0,2,1,0.0
60,32.0,1.0,1.0,3.0,2.0,1.0,22.0,4.0,2.0,1.0,9.0,3.0,3.0,0.0,8.0,8.0,200.0,0.72,4.0,4.0,9.0,0,2,1.0,1.0,2.0,1.0,1.0,3.0,2,0,1.0
61,38.0,29.0,4.0,3.0,2.0,1.0,11.0,3.0,4.0,0.0,10.0,2.0,3.0,0.0,3.0,9.0,200.0,0.72,4.0,4.0,10.0,0,0,2.0,0.0,0.0,0.0,0.0,2.0,2,0,0.0
62,50.0,7.0,2.0,2.0,5.0,5.0,12.0,3.0,4.0,1.0,29.0,2.0,2.0,0.0,3.0,8.0,200.0,0.72,4.0,3.0,27.0,0,2,1.0,0.0,2.0,2.0,1.0,7.0,2,0,2.0
63,59.0,25.0,1.0,3.0,3.0,7.0,11.0,3.0,4.0,0.0,28.0,3.0,2.0,0.0,16.0,9.0,200.0,0.72,4.0,1.0,21.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0
