,Age,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Work_accident,YearsInCurrentRole,YearsWithCurrManager,average_montly_hours,last_evaluation,number_project,satisfaction_level_Combined,YearsAtCompanyCombied,salary_combined,BusinessTravel_numerical,Gender_numerical,EducationField_numerical,MaritalStatus_numerical,OverTime_numerical,JobRole_numerical,department_combined,promotion_5_year_combined,MonthtlyRateNormalized,actual,predicted
7563,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,243.0,0.97,4.0,4.0,5.0,1,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,1,0
10365,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,98.0,0.5,4.0,3.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,3,0,2.0,0,0
344,35.0,5.0,3.0,3.0,3.0,0.0,13.0,3.0,4.0,0.0,17.0,5.0,3.0,0.0,6.0,13.0,200.0,0.72,4.0,2.0,16.0,2,1.0,1.0,4.0,0.0,0.0,3.0,2,1,3.0,0,0
15375,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,210.0,0.65,3.0,4.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,10,0,2.0,0,0
19312,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,1.0,2.0,2.0,178.0,0.55,4.0,4.0,2.0,0,1.0,1.0,2.0,1.0,0.0,2.0,6,0,2.0,0,0
5999,34.0,13.0,2.0,3.0,2.0,3.0,11.0,3.0,3.0,0.0,9.0,4.0,3.0,0.0,0.0,0.0,200.0,0.72,4.0,3.0,1.0,2,2.0,1.0,3.0,0.0,0.0,3.0,1,1,4.0,1,1
13924,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,219.0,0.8,4.0,4.0,2.0,1,1.0,1.0,2.0,1.0,0.0,2.0,10,0,2.0,0,0
18121,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,190.0,0.64,2.0,3.0,3.0,0,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
7289,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,269.0,0.95,5.0,4.0,6.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,1,0
19042,33.0,8.0,2.0,2.0,1.0,2.0,14.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,2.0,2.0,191.0,0.68,3.0,2.0,4.0,1,1.0,1.0,2.0,1.0,0.0,2.0,1,0,2.0,0,0
